,name,rtg,team,dep,week,att,yds,td,tgts,rec,rec yds,rec td,opponent
231,Dion Lewis,76,NYG,2.0,3,1.0,0.0,0,3.0,1.0,10.0,0,SF
232,Travis Homer,67,SEA,3.0,3,2.0,19.0,0,1.0,0.0,0.0,0,DAL
233,Malcolm Brown,70,LAR,2.0,3,7.0,19.0,0,2.0,0.0,0.0,0,BUF
234,TJ Yeldon,76,BUF,2.0,3,3.0,18.0,0,0.0,0.0,0.0,0,LAR
235,Reggie Bonnafon,67,CAR,2.0,3,2.0,16.0,0,0.0,0.0,0.0,0,LAC
236,Jeremy McNichols,69,TEN,2.0,3,0.0,0.0,0,1.0,1.0,5.0,0,MIN
237,Benny Snell Jr.,75,PIT,2.0,3,7.0,11.0,0,0.0,0.0,0.0,0,HOU
238,Devonta Freeman,76,NYG,1.0,3,5.0,10.0,0,0.0,0.0,0.0,0,SF
239,Darrynton Evans,71,TEN,5.0,3,3.0,9.0,0,0.0,0.0,0.0,0,MIN
240,Corey Clement,76,PHI,3.0,3,3.0,8.0,0,0.0,0.0,0.0,0,CIN
241,Peyton Barber,73,WAS,1.0,3,3.0,6.0,0,0.0,0.0,0.0,0,CLE
242,Boston Scott,70,PHI,2.0,3,3.0,5.0,0,1.0,0.0,0.0,0,CIN
243,Tony Pollard,79,DAL,2.0,3,0.0,0.0,0,1.0,1.0,-5.0,0,SEA
244,Matt Breida,77,MIA,2.0,3,3.0,4.0,0,0.0,0.0,0.0,0,JAX
245,Jaylen Samuels,72,PIT,2.0,3,1.0,1.0,0,0.0,0.0,0.0,0,HOU
246,CJ Prosise,69,HOU,3.0,3,1.0,1.0,0,0.0,0.0,0.0,0,PIT
247,Joe Mixon,87,CIN,1.0,4,25.0,151.0,2,6.0,6.0,30.0,1,JAX
248,Dalvin Cook,97,MIN,1.0,4,27.0,130.0,2,2.0,2.0,16.0,0,HOU
249,Melvin Gordon,83,DEN,1.0,4,23.0,107.0,2,3.0,2.0,11.0,0,NYJ
250,Chris Carson,89,SEA,1.0,4,16.0,80.0,2,4.0,3.0,20.0,0,MIA
251,Antonio Gibson,76,WAS,3.0,4,13.0,46.0,1,5.0,4.0,82.0,0,BAL
252,Jerick McKinnon,75,SF,3.0,4,14.0,54.0,1,8.0,7.0,43.0,0,PHI
253,Mike Davis,78,CAR,1.0,4,16.0,84.0,1,6.0,5.0,27.0,0,ARI
254,Aaron Jones,88,GB,1.0,4,15.0,71.0,0,5.0,5.0,40.0,1,ATL
255,Latavius Murray,82,NO,2.0,4,14.0,64.0,2,2.0,1.0,19.0,0,DET
256,Alvin Kamara,92,NO,1.0,4,19.0,83.0,1,4.0,3.0,36.0,0,DET
257,Todd Gurley,78,ATL,1.0,4,16.0,57.0,2,1.0,1.0,6.0,0,GB
