,name,rtg,team,dep,week,tgts,rec,rec yds,rec td,att,yds,td,opponent
315,Zach Pascal,72,IND,1.0,3,4,2,34,0,0,0,0,NYJ
316,Brandin Cooks,86,HOU,1.0,3,5,3,23,0,0,0,0,PIT
317,Nelson Agholor,78,LV,1.0,3,3,2,32,0,0,0,0,NE
318,Auden Tate,79,CIN,5.0,3,4,2,29,0,0,0,0,PHI
319,Deontay Burnett,68,PHI,2.0,3,4,3,19,0,0,0,0,CIN
320,Russell Gage,69,ATL,1.0,3,3,2,26,0,0,0,0,CHI
321,KeeSean Johnson,67,ARI,2.0,3,7,2,24,0,0,0,0,DET
322,Jalen Guyton,67,LAC,2.0,3,3,2,23,0,0,0,0,CAR
323,Daurice Fountain,70,IND,2.0,3,2,2,23,0,0,0,0,NYJ
324,Julian Edelman,79,NE,1.0,3,6,2,23,0,1,-1,0,LV
325,Jamal Agnew,67,DET,2.0,3,2,2,20,0,1,2,0,ARI
326,Damion Ratley,67,NYG,3.0,3,2,1,29,0,0,0,0,SF
327,John Hightower,67,PHI,2.0,3,3,2,19,0,0,0,0,CIN
328,Darnell Mooney,67,CHI,1.0,3,5,2,19,0,0,0,0,ATL
329,Ted Ginn,74,CHI,3.0,3,3,1,29,0,0,0,0,ATL
330,Seth Roberts,77,CAR,4.0,3,3,2,16,0,0,0,0,LAC
331,Isaiah Ford,68,MIA,3.0,3,2,2,14,0,0,0,0,JAX
332,Chase Claypool,67,PIT,2.0,3,4,1,24,0,0,0,0,HOU
333,Marquise Brown,78,BAL,2.0,3,6,2,13,0,0,0,0,KC
334,DeSean Jackson,77,PHI,1.0,3,4,2,11,0,0,0,0,CIN
335,Trent Taylor,76,SF,3.0,3,1,1,20,0,0,0,0,NYG
336,Mike Thomas,67,CIN,2.0,3,2,2,9,0,0,0,0,PHI
337,Danny Amendola,81,DET,1.0,3,4,1,18,0,0,0,0,ARI
338,Mike Williams,79,LAC,1.0,3,1,1,17,0,0,0,0,CAR
339,K.J. Hill,67,LAC,,3,4,1,15,0,0,0,0,CAR
340,Deonte Harris,67,NO,3.0,3,3,2,5,0,0,0,0,GB
341,Willie Snead,78,BAL,1.0,3,2,2,4,0,0,0,0,KC
342,Freddie Swain,67,SEA,2.0,3,1,1,13,0,0,0,0,DAL
343,Antonio Gandy-Golden,67,WAS,3.0,3,2,0,0,0,1,22,0,CLE
344,Isaiah McKenzie,69,BUF,2.0,3,2,1,6,0,1,4,0,LAR
345,Mohamed Sanu,79,DET,1.0,3,1,1,9,0,0,0,0,ARI
346,CJ Board,67,NYG,3.0,3,2,1,9,0,0,0,0,SF
347,Noah Brown,69,DAL,2.0,3,2,1,9,0,0,0,0,SEA
348,Miles Boykin,73,BAL,1.0,3,2,1,8,0,0,0,0,KC
349,Diontae Spencer,67,DEN,2.0,3,1,1,7,0,0,0,0,TB
350,Chad Beebe,68,MIN,2.0,3,1,1,7,0,0,0,0,TEN
351,Marquez Valdes-Scantling,70,GB,2.0,3,4,1,5,0,0,0,0,NO
352,Dede Westbrook,75,JAX,3.0,3,1,1,4,0,0,0,0,MIA
353,Collin Johnson,67,JAX,3.0,3,2,1,3,0,0,0,0,MIA
354,Isaiah Zuber,67,NE,,3,0,0,0,0,1,13,0,LV
355,Cordarrelle Patterson,74,CHI,2.0,3,0,0,0,0,4,13,0,ATL
356,David Moore,76,SEA,1.0,3,1,1,2,0,0,0,0,DAL
357,Larry Fitzgerald,77,ARI,1.0,3,3,1,0,0,0,0,0,DET
358,Diontae Johnson,77,PIT,1.0,3,2,0,0,0,1,9,0,HOU
359,Jojo Natson,67,CLE,6.0,3,0,0,0,0,1,3,0,WAS
360,Odell Beckham Jr,93,CLE,1.0,4,8,5,81,2,2,73,1,DAL
361,Amari Cooper,92,DAL,1.0,4,16,12,134,1,0,0,0,CLE
362,D.J. Chark,83,JAX,1.0,4,9,8,95,2,0,0,0,CIN
363,Adam Thielen,90,MIN,1.0,4,10,8,114,1,1,8,0,HOU
364,CeeDee Lamb,79,DAL,1.0,4,7,5,79,2,1,3,0,CLE
365,Mike Evans,90,TB,1.0,4,8,7,122,1,0,0,0,LAC
366,Tim Patrick,77,DEN,1.0,4,7,6,113,1,0,0,0,NYJ
367,Allen Robinson,87,CHI,1.0,4,10,7,101,1,0,0,0,IND
368,Will Fuller,87,HOU,1.0,4,7,6,108,1,0,0,0,MIN
369,Terry McLaurin,91,WAS,1.0,4,14,10,118,0,0,0,0,BAL
370,Tre'Quan Smith,74,NO,3.0,4,4,4,54,2,0,0,0,DET
371,Devante Parker,87,MIA,1.0,4,12,10,110,0,0,0,0,SEA
372,Scott Miller,72,TB,2.0,4,7,5,83,1,0,0,0,LAC
373,David Moore,76,SEA,1.0,4,4,3,95,1,0,0,0,MIA
374,Robby Anderson,85,CAR,1.0,4,11,8,99,0,0,0,0,ARI
375,Cooper Kupp,88,LAR,1.0,4,7,5,69,1,1,-2,0,NYG
376,Stefon Diggs,94,BUF,1.0,4,7,6,115,0,0,0,0,LV
377,Jamison Crowder,79,NYJ,1.0,4,10,7,104,0,0,0,0,DEN
